label,text,id
1,"The Methoprene-tolerant (Met) mutation of Drosophila melanogaster results in a high (100-fold) level of resistance to the insecticide methoprene, a chemical analog of juvenile hormone. Pest species that are under control with methoprene may therefore have the potential to evolve resistance via a mutation homologous to Met. To evaluate the potential of such mutants to persist in wild populations, we must understand the fitness of flies carrying Met. In the absence of methoprene, Met flies were outcompeted by a wild-type strain both in a multigeneration population cage and in single-generation competition experiments. To determine which fitness component(s) is responsible for the competitive disadvantage, the survival, time of development, and fecundity of flies homozygous for each of five Met alleles were compared with wild type. Small but significant differences were found between the pooled Met alleles and wild type for pupal development time, pupal mortality, and early adult fecundity. These differences result in a large competitive disadvantage. Although Met flies were found to have reduced fitness by these measures, the phenotype is not as severe as might be expected from a knowledge of the disruption of juvenile hormone regulation seen in Met flies. It is concluded that (1) although Met flies have a large advantage under methoprene selection, they will quickly become outcompeted upon relaxation of methoprene usage, (2) even a seemingly severe disruption of juvenile hormone regulation has no drastic effect on the vital functions of the insect and (3) small differences in fitness components can translate into a large competitive disadvantage.",4997
1,"BACKGROUND: Knockdown resistance (kdr) has been identified as a main mechanism against pyrethroid insecticides in many arthropod pests including in the onion thrips, Thrips tabaci. To characterize and identify pyrethroid-resistance in onion thrips in Washington state, we conducted insecticide bioassays and sequenced a region of the voltage gated sodium channel gene from several different T. tabaci populations. RESULTS: Field collected Thrips tabaci were found to have large variations in resistance to the pyrethroid insecticide lambda-cyhalothrin. We identified two single nucleotide substitutions in our analysis of a partial sequence of the T. tabaci voltage-gated sodium channel gene. One mutation resulted in the non-synonymous substitution of methionine with leucine (M918L), which is well known to be responsible for super knockdown resistance in some pest species. Another non-synonymous substitution, a valine (GTT) to alanine (GCT) replacement at amino acid 1010 (V1010A) was identified in our study and was associated with lambda-cyhalothrin resistance. CONCLUSION: We have characterized a known kdr mutation and identified a novel mutation in the voltage-gated sodium channel gene of Thrips tabaci associated with resistance to lambda-cyhalothrin. This gene region and these mutations are expected to be useful in the development of a diagnostic test to detect kdr resistance in many onion thrips populations.",5284
0,"The compatibility of the entomopathogenic fungus Lecanicillium muscarium and chemical insecticides used to control the second instar stages of the sweetpotato whitefly, Bemisia tabaci, was investigated. The effect on spore germination of direct exposure for 24 h to the insecticides imidacloprid, buprofezin, teflubenzuron and nicotine was determined. Only exposure to buprofezin was followed by acceptable spore germination. However, all chemicals significantly reduced spore germination when compared to a water control. Infectivity of L. muscarium in the presence of dry residues of buprofezin, teflubenzuron and nicotine (imidacloprid is a systemic pesticide) on foliage were also investigated. No significant detrimental effects on the level of control of B. tabaci was recorded when compared with fungi applied to residue free foliage on either tomato or verbena plants. Fungi in combination with imidacloprid gave higher B. tabaci mortality on verbena foliage compared to either teflubenzuron or nicotine and fungi combinations. Use of these chemical insecticides with L. muscarium in integrated control programmes for B. tabaci is discussed.",489
1,"Tomato pinworm, Tuta absoluta (Meyrick) (Lepidoptera: Gelechiidae) is the major pest of tomato crops in Pakistan. Insecticides are commonly used for the management of this insect-pest. To develop a better insecticide resistance management strategy and evaluate the risk of resistance evolution, a field collected population of the tomato pinworm was selected with flubendiamide in the laboratory. We investigated the genetics of flubendiamide resistance and concentration-mortality response to other insecticides by selecting a field strain of tomato pinworm with commercial flubendiamide formulation. Tuta absoluta was reciprocally crossed with resistant strain (Fluben-R) and was selected up to 13 generations, while F(1) progeny was back-crossed with resistant parent (Fluben-R). The results of LC(50) and Resistance Ratio (RR) demonstrated a higher resistance developed in field and laboratory-selected strains (G(2) and G(13), respectively). Field-collected and laboratory-selected (Fluben-R) strains demonstrated higher intensity of concentration-mortality response against chlorantraniliprole, thiamethoxam, permethrin, abamectin and tebufenozide compared to susceptible ones. Based on the overlapping of 95% FL, it demonstrated significant differences, revealing that it was not sex linked (autosomal) with no maternal effects. The backcross analysis of the F(1)麓 resistant parent resulting in significant differences at all concentrations suggests that resistance is controlled by more than one factor; the null hypothesis was rejected and inheritance was under polygenic control. Resistance progression from 38 to 550 folds demonstrated that T. absoluta can develop a higher level of resistance to flubendiamide. Concentration-mortality response experiments demonstrated that the LC(50) of some tested insecticides was higher for field-collected and laboratory-selected strains, suggesting that resistance mechanisms should be studied at a molecular level for better understanding. These results could be helpful to design resistance management strategies against the tomato pinworm.",17009
0,"Tuta absoluta (Povolny, 1994) is a devastating moth to the Solanaceae plants. It is a challenging pest to control, especially on tomatoes. In this work, we studied the entomopathogenic activity of the Cry-forming δ-endotoxins produced by Bacillus thuringiensis strain KS and B. thuringiensis kurstaki reference strain HD1 against T. absoluta. These strains carried the cry2, cry1Ab, cry1Aa / cry1Ac, and cry1I genes, and KS also carried a cry1C gene. The δ-endotoxins of KS were approximately twofold more toxic against the third instar larvae than those of HD1, as they showed lower 50% and 90% lethal concentrations (0.80 and 2.70 μg/cm² (δ-endotoxins/tomato leaf)) compared with those of HD1 (1.70 and 4.50 μg/cm²) (p < 0.05). Additionally, the larvae protease extract showed at least six caseinolytic activities, which activated the KS and HD1 δ- endotoxins, yielding the active toxins of about 65 kDa and the protease-resistant core of about 58 kDa. Moreover, the histopathological effects of KS and HD1 δ-endotoxins on the larvae midgut consisted of an apical columnar cell vacuolization, microvillus damage, and epithelial cell disruption. These results showed that the KS strain could be a candidate for T. absoluta control.",4192
0,"Conventional insecticides have been widely used to control cockroaches but these insects have developed resistance to several compounds. Safer insecticides with a low toxicity such as oxadiazine have been advanced: indoxacarb (30% WG) is designated to be a reduced-risk insecticide and is considered as an organophosphate replacement. Insecticidal activity occurs via blockage of the sodium channels in the insect nervous system. In a first series of experiments, the toxicity of different concentrations (15, 20, 25 and 30 ppm) administrated by topical application to newly emerged adults was studied on the German cockroach Blattella germanica, and the LC50 and LT50 values were determined. In a second series of experiments, the compound was applied at its LC50 and LC90 over a period of 6 days, and the effects on the biochemical composition of ovaries (proteins, carbohydrates and lipids) during the adult life (2, 4 and 6 days) were examined.",2754
1,"BACKGROUND: During the past decade, rapid development of insecticide resistance have been reported among many species of mosquito vectors against four main categories of insecticides worldwide. The aim of the research was to assess the variation trend of susceptibility levels of Culex quinquefasciatus to two insecticides separately for the field population compared with subsequent generations of the same sample after multiple colonization. METHODS: Larvae and pupae of Cx. quinquefasciatus were collected from house sewages and reared to adult which blood-fed on roosters. Ten percent sucrose fed female mosquitoes aged 2-3 days were used for susceptibility tests with DDT and deltamethrin. Susceptibility levels was assessed in the adult stage of field stran Cx. quinquefasciatus against DDT 4.0% and deltamethrin 0.05% and continued up to next six generations undergoing multiple rearing at insectary condition. RESULTS: The susceptibility levels to DDT 4.0% did not change compared to the field with the lab population to six generations. Regarding deltamethrin 0.05%, no significant difference was shown between field strain (58.3%) and 3(rd) generation (52.7%) compared to the 6(th) one (33.8%). CONCLUSION: This finding may reflect the role of the kdr gene in resistance to organochlorine which has cross-resistance with pyrethroid insecticides. The results of this study clearly showed the irreversible trend of pyrethroid resistance among colonized mosquitoes. This is the first study of the resistance status of Cx. quinquefasciatus in Iran.",10586
0,"1. Decarbomethoxyllated JW062 (DCJW), the active component of a new oxadiazine insecticide DPX-JW062 (Indoxacarb), was tested on action potentials and the inward sodium current recorded from short-term cultured dorsal unpaired median neurones of the cockroach Periplaneta americana. 2. Under whole-cell current-clamp conditions, 100 nM DCJW reduced the amplitude of action potentials and induced a large hyperpolarization of the resting membrane potential associated with a 41% increase in input resistance. 3. In voltage-clamp, DCJW resulted in a dose-dependent inhibition (IC(50) 28 nM) of the peak sodium current. Based on IC(50) values, the effect of DCJW was about 10 fold less potent than tetrodotoxin (TTX) but 1000 fold more potent than the local anaesthetic lidocaine. DCJW (100 nM) was without effect on activation properties of the sodium current, reversal potential, voltage dependence of sodium conductance and on both fast and slow steady-state inactivations. 4. TTX (2 nM) resulted in 48% inhibition of the peak inward sodium current. Co-application of TTX (2 nM) with various concentrations of DCJW produced an additional inhibition of the peak inward current, indicating that the blocking actions of DCJW and TTX were distinct. Co-application of lidocaine (IC(50) 30 microM) with various concentrations of DCJW produced a reduction of the apparent potency of DCJW, suggesting that DCJW and lidocaine acted at the same site. 5. DCJW (100 nM) did not affect inward calcium or outward potassium currents. 6. This study describes, for the first time, the action on insect neuronal voltage-dependent sodium channels of Indoxacarb, a new class of insecticides.",3848
1,"Bioassays and biochemical assays were conducted on eight Trinidadian strains of Aedes aegypti larvae to determine the involvement of biochemical mechanisms in resistance to insecticides. Larval strains were assayed to dichlorodiphenyltrichloroethane (DDT), bendiocarb, temephos and permethrin, using the Centers for Disease Control and Prevention (CDC) time-mortality bioassay method. A Resistance Threshold (RT) was calculated for each insecticide in relation to the CAREC reference susceptible Ae. aegypti strain and larval strains with <80% mortality were considered to be resistant. Biochemical assays were performed to determine the activities of nonspecific esterases (伪- and 尾-), PNPA-esterases, mixed function oxidases (MFO), glutathione-S-transferases (GST) and acetylcholinesterase (AChE) enzymes which are involved in insecticide resistance in mosquitoes. Enzyme profiles of each strain were compared with those of the CAREC reference susceptible strain by Kruskal-Wallis and Dunn's multiple comparison tests (p<0.05). The CAREC 99th percentile was calculated for each enzyme and the percentage of individuals with enzyme activities above that of the CAREC 99th percentile was calculated. Activities were classified as unaltered (<50%), incipiently altered (15-50%) or altered (>50%) for each strain. The established RTs for permethrin and bendiocarb were 30 and 75 min, respectively; and 120 min for DDT and temephos. All strains were resistant to DDT (1.00-40.25% mortality) and temephos (11.50-74.50% mortality) while six strains were resistant to bendiocarb (51.50-78.50% mortality) and five to permethrin (6.50-42.50% mortality). Biochemical assays revealed that the median activity levels for all enzymes varied significantly (p<0.05). The Curepe strain had incipiently altered levels of 伪-esterase while the other seven strains had altered activity with five of them registering 100%. The St Clair strain showed altered activity levels of 尾-esterase while three strains had incipiently altered levels. The majority of strains had altered activity of MFO enzymes but only the St Clair strain showed altered activity of GST. PNPA-esterases activity was unaltered in all strains and only the Haleland Park strain showed altered remaining AChE activity in the presence of propoxur. Elevated levels of enzymes (incipiently altered or altered), except in the case of PNPA-esterases, show that biochemical resistance may play an important role in the manifestation of insecticide resistance in Trinidadian populations of Ae. aegypti. It is therefore important for insecticide resistance surveillance to be ongoing as the detection of resistance before it spreads throughout an entire population makes it possible for early intervention.",4439
1,"BACKGROUND: Resistance to diamide insecticides in Lepidoptera is known to be caused primarily by amino acid changes on the ryanodine receptor (RyR). Recently, two new target site mutations, G4946V and I4790M, have emerged in populations of diamondback moth, Plutella xylostella, as well as in other lepidopteran species, and both mutations have been shown empirically to decrease diamide efficacy. Here, we quantify the impact of the I4790M mutation on diamide activation of the receptor, as compared to alterations at the G4946 locus. RESULTS: I4790M when introduced into P.聽xylostella RyR expressed in an insect-derived Sf9 cell line was found to mediate just a ten-fold reduction in chlorantraniliprole efficacy (compared to 104- and 146-fold reductions for the G4946E and G4946V variants, respectively), whilst in the field its presence is associated with a 鈮?50-fold reduction. I4790M-mediated resistance to flubendiamide was estimated to be >24-fold. When the entire coding sequence of P.聽xylostella RyR was integrated into Drosophila melanogaster, the I4790M variant conferred ~4.4-fold resistance to chlorantraniliprole and 22-fold resistance to flubendiamide in the 3rd instar larvae, confirming that it imparts only a moderate level of resistance to diamide insecticides. Although the I4790M substitution appears to bear no fitness costs in terms of the flies' reproductive capacity, when assessed in a noncompetitive environment, it does, however, have potentially major impacts on mobility at both the larval and adult stages. CONCLUSIONS: I4790M imparts only a moderate level of resistance to diamide insecticides and potentially confers significant fitness costs to the insect.",12082
