id,abstract,filt_abstract,entity
13,"In Argentina, studies on Varroa destructor resistance to coumaphos are still unknown. At present, high infestation levels of V. destructor are being detected in colonies of Apis mellifera after treatment with this acaricide. The aim of the present study was to determine the LC50 of coumaphos in V. destructor from four apiaries with high mite density after treatment with coumaphos. The LC50's were 112, 319, 127 and 133 microg/Petri dish for mites from the four apiaries. LC50 increased 197-559-fold when compared to the corresponding baseline, suggesting the development of resistance. These results are the first report of resistance to coumaphos in V. destructor in Argentina.","In Argentina, studies on Varroa destructor resistance to coumaphos are still unknown. At present, high infestation levels of V. destructor are being detected in colonies of Apis mellifera after treatment with this acaricide. The aim of the present study was to determine the LC50 of coumaphos in V. destructor from four apiaries with high mite density after treatment with coumaphos. The LC50's were 112, 319, 127 and 133 microg/Petri dish for mites from the four apiaries. LC50 increased 197-559-fold when compared to the corresponding baseline, suggesting the development of resistance. These results are the first report of resistance to coumaphos in V. destructor in Argentina.","('Species: Apis mellifera, Varroa destructor, V. destructor; Pesticides: coumaphos; Resistance_factor_value: 197-559-fold; Location: Arge; Gene: null; Year: null', 'In Argentina, studies on Varroa destructor resistance to coumaphos are still unknown. At present, high infestation levels of V. destructor are being detected in colonies of Apis mellifera after treatment with this acaricide. The aim of the present study was to determine the LC50 of coumaphos in V. destructor from four apiaries with high mite density after treatment with coumaphos. LC50 increased 197-559-fold when compared to the corresponding baseline, suggesting the development of resistance. These results are the first report of resistance to coumaphos in V. destructor in Argentina.')"
56,Selection of field populations originating from several countries allowed us to isolate 13 strains of Drosophila melanogaster resistant to parathion. In vitro studies of acetylcholinesterase inhibition by paraoxon have been carried out on purified enzymes: most of the resistant strains harbor an altered acetylcholinesterase. The existence of four distinct types of protein suggests that several mutations of acetylcholinesterase are responsible for insecticide resistance in Drosophila.,Selection of field populations originating from several countries allowed us to isolate 13 strains of Drosophila melanogaster resistant to parathion. In vitro studies of acetylcholinesterase inhibition by paraoxon have been carried out on purified enzymes: most of the resistant strains harbor an altered acetylcholinesterase. The existence of four distinct types of protein suggests that several mutations of acetylcholinesterase are responsible for insecticide resistance in Drosophila.,"('Species: Drosophila melanogaster, Drosophila; Pesticides: parathion, paraoxon; Resistance_factor_value: null; Location: null; Gene: acetylcholinesterase; Year: null', 'Selection of field populations originating from several countries allowed us to isolate 13 strains of Drosophila melanogaster resistant to parathion. In vitro studies of acetylcholinesterase inhibition by paraoxon have been carried out on purified enzymes: most of the resistant strains harbor an altered acetylcholinesterase. The existence of four distinct types of protein suggests that several mutations of acetylcholinesterase are responsible for insecticide resistance in Drosophila.')"
68,"Rapid resistance detection is necessary for the adaptive management of acaricide-resistant populations of Tetranychus urticae. Detection of phenotypic and genotypic resistance was conducted by employing residual contact vial bioassay (RCV) and quantitative sequencing (QS) methods, respectively. RCV was useful for detecting the acaricide resistance levels of T. urticae, particularly for on-site resistance detection; however, it was only applicable for rapid-acting acaricides (12 out of 19 tested acaricides). QS was effective for determining the frequencies of resistance alleles on a population basis, which corresponded to 12 nonsynonymous point mutations associated with target-site resistance to five types of acaricides [organophosphates (monocrotophos, pirimiphos-methyl, dimethoate and chlorpyrifos), pyrethroids (fenpropathrin and bifenthrin), abamectin, bifenazate and etoxazole]. Most field-collected mites exhibited high levels of multiple resistance, as determined by RCV and QS data, suggesting the seriousness of their current acaricide resistance status in rose cultivation areas in Korea. The correlation analyses revealed moderate to high levels of positive relationships between the resistance allele frequencies and the actual resistance levels in only five of the acaricides evaluated, which limits the general application of allele frequency as a direct indicator for estimating actual resistance levels. The combined use of RCV and QS provides basic information on resistance levels, which is essential for choosing appropriate acaricides for the management of resistant T. urticae.","Rapid resistance detection is necessary for the adaptive management of acaricide-resistant populations of Tetranychus urticae. Detection of phenotypic and genotypic resistance was conducted by employing residual contact vial bioassay (RCV) and quantitative sequencing (QS) methods, respectively. RCV was useful for detecting the acaricide resistance levels of T. urticae, particularly for on-site resistance detection; however, it was only applicable for rapid-acting acaricides (12 out of 19 tested acaricides). QS was effective for determining the frequencies of resistance alleles on a population basis, which corresponded to 12 nonsynonymous point mutations associated with target-site resistance to five types of acaricides [organophosphates (monocrotophos, pirimiphos-methyl, dimethoate and chlorpyrifos), pyrethroids (fenpropathrin and bifenthrin), abamectin, bifenazate and etoxazole]. Most field-collected mites exhibited high levels of multiple resistance, as determined by RCV and QS data, suggesting the seriousness of their current acaricide resistance status in rose cultivation areas in Korea. The correlation analyses revealed moderate to high levels of positive relationships between the resistance allele frequencies and the actual resistance levels in only five of the acaricides evaluated, which limits the general application of allele frequency as a direct indicator for estimating actual resistance levels. The combined use of RCV and QS provides basic information on resistance levels, which is essential for choosing appropriate acaricides for the management of resistant T. urticae.","('Species: T. urticae, Tetranychus urticae; Pesticides: pyrethroids, bifenthrin, chlorpyrifos, abamectin, organophosphates, bifenazate, etoxazole, pirimiphos-methyl, fenpropathrin, monocrotophos, dimethoate; Resistance_factor_value: null; Location: Korea; Gene: null; Year: null', 'Rapid resistance detection is necessary for the adaptive management of acaricide-resistant populations of Tetranychus urticae. RCV was useful for detecting the acaricide resistance levels of T. urticae, particularly for on-site resistance detection; however, it was only applicable for rapid-acting acaricides (12 out of 19 tested acaricides). QS was effective for determining the frequencies of resistance alleles on a population basis, which corresponded to 12 nonsynonymous point mutations associated with target-site resistance to five types of acaricides [organophosphates (monocrotophos, pirimiphos-methyl, dimethoate and chlorpyrifos), pyrethroids (fenpropathrin and bifenthrin), abamectin, bifenazate and etoxazole]. Most field-collected mites exhibited high levels of multiple resistance, as determined by RCV and QS data, suggesting the seriousness of their current acaricide resistance status in rose cultivation areas in Korea. The combined use of RCV and QS provides basic information on resistance levels, which is essential for choosing appropriate acaricides for the management of resistant T. urticae.')"
73,"The response to azinphos-methyl of different life-stages of the codling moth Cydia pomonella  was studied. A similarity in response to azinphos-methyl (LC(50), LC(90)) was observed in neonate larvae obtained from the first and second generations of field populations. Mortality rates for neonate larvae of a field population cross-bred with a laboratory colony were lower (by a factor of 1.2-2.2) in comparison with field neonate larvae. The mortality rate of larvae from a laboratory colony exposed to artificial diet containing azinphos-methyl gradually decreased at older instars. The mortality rates of fifth-instar larvae were remarkably low when exposed to artificial diet mixed with azinphos-methyl or when topically treated with the insecticide. No significant difference in sensitivity to the organophosphorus compound was noticed between the sexes of 7- to 10-day-old adults.","The response to azinphos-methyl of different life-stages of the codling moth Cydia pomonella  was studied. A similarity in response to azinphos-methyl (LC(50), LC(90)) was observed in neonate larvae obtained from the first and second generations of field populations. Mortality rates for neonate larvae of a field population cross-bred with a laboratory colony were lower (by a factor of 1.2-2.2) in comparison with field neonate larvae. The mortality rate of larvae from a laboratory colony exposed to artificial diet containing azinphos-methyl gradually decreased at older instars. The mortality rates of fifth-instar larvae were remarkably low when exposed to artificial diet mixed with azinphos-methyl or when topically treated with the insecticide. No significant difference in sensitivity to the organophosphorus compound was noticed between the sexes of 7- to 10-day-old adults.","('Species: Cydia pomonella; Pesticides: azinphos, azinphos-methyl; Resistance_factor_value: null; Location: null; Gene: null; Year: null', 'The response to azinphos-methyl of different life-stages of the codling moth Cydia pomonella (L.). A similarity in response to azinphos-methyl (LC(50), LC(90)) was observed in neonate larvae obtained from the first and second generations of field populations. The mortality rate of larvae from a laboratory colony exposed to artificial diet containing azinphos-methyl gradually decreased at older instars. The mortality rates of fifth-instar larvae were remarkably low when exposed to artificial diet mixed with azinphos-methyl or when topically treated with the insecticide.')"
76,"BACKGROUND: Bed bugs (Cimex lectularius) are hematophagous nocturnal parasites of humans that have attained high impact status due to their worldwide resurgence. The sudden and rampant resurgence of C. lectularius has been attributed to numerous factors including frequent international travel, narrower pest management practices, and insecticide resistance. RESULTS: We performed a next-generation RNA sequencing (RNA-Seq) experiment to find differentially expressed genes between pesticide-resistant (PR) and pesticide-susceptible (PS) strains of C. lectularius. A reference transcriptome database of 51,492 expressed sequence tags (ESTs) was created by combining the databases derived from de novo assembled mRNA-Seq tags (30,404 ESTs) and our previous 454 pyrosequenced database (21,088 ESTs). Among the top 5,000 differentially expressed ESTs, 109 putative defense genes (cuticular proteins, cytochrome P450s, antioxidant genes, ABC transporters, glutathione S-transferases, carboxylesterases and acetyl cholinesterase) involved in penetration resistance and metabolic resistance were identified. Tissue and development-specific expression of P450 CYP3 clan members showed high mRNA levels in the cuticle, Malpighian tubules, and midgut; and in early instar nymphs, respectively. Lastly, molecular modeling and docking of a candidate cytochrome P450 (CYP397A1V2) revealed the flexibility of the deduced protein to metabolize a broad range of insecticide substrates including DDT, deltamethrin, permethrin, and imidacloprid. CONCLUSIONS: We developed significant molecular resources for C. lectularius putatively involved in metabolic resistance as well as those participating in other modes of insecticide resistance. RNA-Seq profiles of PR strains combined with tissue-specific profiles and molecular docking revealed multi-level insecticide resistance in C. lectularius. Future research that is targeted towards RNA interference (RNAi) on the identified metabolic targets such as cytochrome P450s and cuticular proteins could lay the foundation for a better understanding of the genetic basis of insecticide resistance in C. lectularius.","BACKGROUND: Bed bugs (Cimex lectularius) are hematophagous nocturnal parasites of humans that have attained high impact status due to their worldwide resurgence. The sudden and rampant resurgence of C. lectularius has been attributed to numerous factors including frequent international travel, narrower pest management practices, and insecticide resistance. RESULTS: We performed a next-generation RNA sequencing (RNA-Seq) experiment to find differentially expressed genes between pesticide-resistant (PR) and pesticide-susceptible (PS) strains of C. lectularius. A reference transcriptome database of 51,492 expressed sequence tags (ESTs) was created by combining the databases derived from de novo assembled mRNA-Seq tags (30,404 ESTs) and our previous 454 pyrosequenced database (21,088 ESTs). Among the top 5,000 differentially expressed ESTs, 109 putative defense genes (cuticular proteins, cytochrome P450s, antioxidant genes, ABC transporters, glutathione S-transferases, carboxylesterases and acetyl cholinesterase) involved in penetration resistance and metabolic resistance were identified. Tissue and development-specific expression of P450 CYP3 clan members showed high mRNA levels in the cuticle, Malpighian tubules, and midgut; and in early instar nymphs, respectively. Lastly, molecular modeling and docking of a candidate cytochrome P450 (CYP397A1V2) revealed the flexibility of the deduced protein to metabolize a broad range of insecticide substrates including DDT, deltamethrin, permethrin, and imidacloprid. CONCLUSIONS: We developed significant molecular resources for C. lectularius putatively involved in metabolic resistance as well as those participating in other modes of insecticide resistance. RNA-Seq profiles of PR strains combined with tissue-specific profiles and molecular docking revealed multi-level insecticide resistance in C. lectularius. Future research that is targeted towards RNA interference (RNAi) on the identified metabolic targets such as cytochrome P450s and cuticular proteins could lay the foundation for a better understanding of the genetic basis of insecticide resistance in C. lectularius.","('Species: C. lectularius, Cimex lectularius; Pesticides: permethrin, DDT, imidacloprid, deltamethrin; Resistance_factor_value: null; Location: null; Gene: glutathione S-transferases, ABC transporters, CYP397A1V2, CYP3, acetyl cholinesterase, cytochrome P450, cytochrome P450s, P450, carboxylesterases; Year: null', 'BACKGROUND: Bed bugs (Cimex lectularius) are hematophagous nocturnal parasites of humans that have attained high impact status due to their worldwide resurgence. The sudden and rampant resurgence of C. lectularius has been attributed to numerous factors including frequent international travel, narrower pest management practices, and insecticide resistance. RESULTS: We performed a next-generation RNA sequencing (RNA-Seq) experiment to find differentially expressed genes between pesticide-resistant (PR) and pesticide-susceptible (PS) strains of C. lectularius. Among the top 5,000 differentially expressed ESTs, 109 putative defense genes (cuticular proteins, cytochrome P450s, antioxidant genes, ABC transporters, glutathione S-transferases, carboxylesterases and acetyl cholinesterase) involved in penetration resistance and metabolic resistance were identified. Tissue and development-specific expression of P450 CYP3 clan members showed high mRNA levels in the cuticle, Malpighian tubules, and midgut; and in early instar nymphs, respectively. Lastly, molecular modeling and docking of a candidate cytochrome P450 (CYP397A1V2) revealed the flexibility of the deduced protein to metabolize a broad range of insecticide substrates including DDT, deltamethrin, permethrin, and imidacloprid. CONCLUSIONS: We developed significant molecular resources for C. lectularius putatively involved in metabolic resistance as well as those participating in other modes of insecticide resistance. RNA-Seq profiles of PR strains combined with tissue-specific profiles and molecular docking revealed multi-level insecticide resistance in C. lectularius. Future research that is targeted towards RNA interference (RNAi) on the identified metabolic targets such as cytochrome P450s and cuticular proteins could lay the foundation for a better understanding of the genetic basis of insecticide resistance in C. lectularius.')"
81,"BACKGROUND: During a dengue outbreak with co-circulation of DENV-1 and -2 in the city of Boa Vista, one patient was diagnosed with DENV-4, a serotype supposed absent from Brazil for almost 30 years. The re-emergence of DENV-4 triggered the intensification of mechanical and chemical Aedes aegypti control activities in order to reduce vector density and avoid DENV-4 dissemination throughout the country. METHODS/PRINCIPAL FINDINGS: Vector control activities consisted of (a) source reduction, (b) application of diflubenzuron against larvae and (c) vehicle-mounted space spraying of 2% deltamethrin to eliminate adults. Control activity efficacy was monitored by comparing the infestation levels and the number of eggs collected in ovitraps before and after interventions, performed in 22 Boa Vista districts, covering an area of ∼ 80% of the city and encompassing 56,837 dwellings. A total of 94,325 containers were eliminated or treated with diflubenzuron. Insecticide resistance to deltamethrin was assessed before, during and after interventions by dose-response bioassays adopting WHO-based protocols. The intense use of the pyrethroid increased fourfold the resistance ratio of the local Ae. aegypti population only six months after the beginning of vector control. Curiously, this trend was also observed in the districts in which no deltamethrin was applied by the public health services. On the other hand, changes in the resistance ratio to the organophosphate temephos seemed less influenced by insecticide in Boa Vista. The great and rapid increase in pyrethroid resistance levels of natural Ae. aegypti populations is discussed in the context of both public and domestic intensification of chemical control due to a dengue outbreak.","BACKGROUND: During a dengue outbreak with co-circulation of DENV-1 and -2 in the city of Boa Vista, one patient was diagnosed with DENV-4, a serotype supposed absent from Brazil for almost 30 years. The re-emergence of DENV-4 triggered the intensification of mechanical and chemical Aedes aegypti control activities in order to reduce vector density and avoid DENV-4 dissemination throughout the country. METHODS/PRINCIPAL FINDINGS: Vector control activities consisted of (a) source reduction, (b) application of diflubenzuron against larvae and (c) vehicle-mounted space spraying of 2% deltamethrin to eliminate adults. Control activity efficacy was monitored by comparing the infestation levels and the number of eggs collected in ovitraps before and after interventions, performed in 22 Boa Vista districts, covering an area of ∼ 80% of the city and encompassing 56,837 dwellings. A total of 94,325 containers were eliminated or treated with diflubenzuron. Insecticide resistance to deltamethrin was assessed before, during and after interventions by dose-response bioassays adopting WHO-based protocols. The intense use of the pyrethroid increased fourfold the resistance ratio of the local Ae. aegypti population only six months after the beginning of vector control. Curiously, this trend was also observed in the districts in which no deltamethrin was applied by the public health services. On the other hand, changes in the resistance ratio to the organophosphate temephos seemed less influenced by insecticide in Boa Vista. The great and rapid increase in pyrethroid resistance levels of natural Ae. aegypti populations is discussed in the context of both public and domestic intensification of chemical control due to a dengue outbreak.","('Species: Aedes aegypti, Boa Vista, Ae. aegypti; Pesticides: temephos, diflubenzuron, deltamethrin; Resistance_factor_value: null; Location: Boa Vista, Brazil; Gene: null; Year: null', 'BACKGROUND: During a dengue outbreak with co-circulation of DENV-1 and -2 in the city of Boa Vista, one patient was diagnosed with DENV-4, a serotype supposed absent from Brazil for almost 30 years. The re-emergence of DENV-4 triggered the intensification of mechanical and chemical Aedes aegypti control activities in order to reduce vector density and avoid DENV-4 dissemination throughout the country. METHODS/PRINCIPAL FINDINGS: Vector control activities consisted of (a) source reduction, (b) application of diflubenzuron against larvae and (c) vehicle-mounted space spraying of 2% deltamethrin to eliminate adults. Control activity efficacy was monitored by comparing the infestation levels and the number of eggs collected in ovitraps before and after interventions, performed in 22 Boa Vista districts, covering an area of ∼ 80% of the city and encompassing 56,837 dwellings. A total of 94,325 containers were eliminated or treated with diflubenzuron. Insecticide resistance to deltamethrin was assessed before, during and after interventions by dose-response bioassays adopting WHO-based protocols. The intense use of the pyrethroid increased fourfold the resistance ratio of the local Ae. aegypti population only six months after the beginning of vector control. Curiously, this trend was also observed in the districts in which no deltamethrin was applied by the public health services. On the other hand, changes in the resistance ratio to the organophosphate temephos seemed less influenced by insecticide in Boa Vista. The great and rapid increase in pyrethroid resistance levels of natural Ae. aegypti populations is discussed in the context of both public and domestic intensification of chemical control due to a dengue outbreak.')"
90,"The carmine spider mite, Tetranychus cinnabarinus is an important crop and vegetable plants pest mite. As a novel acaricide, cyflumetofen is effective against Tetranychus and Panonychus mites, but its risk and biochemical mechanism of resistance in mites is not clear. In this study, the resistance against cyflumetofen was selected and its biochemical mechanisms were studied in T. cinnabarinus. After selection the susceptibility and resistance against cyflumetofen in T. cinnabarinus, the final resistance ratio reached 21.33 at LC50 (CyR-43/CyS). All the collected field populations showed low resistance against cyflumetofen, although it had never been used in China. The activity of detoxifying enzymes CarE, MFO and GSTs were significantly increased in the final selected resistance strain (CyR-43), especially that for GSTs increased more than 7-folds after selection. The resistance against cyflumetofen developed slowly when selected from the susceptible strain in laboratory, but the resistant genes already existed in field populations, and the GSTs was the most important detoxifying enzyme conferring resistance against cyflumetofen in T. cinnabarinus. These results would provide the valuable information for designing appropriate strategies for the practical application of cyflumetofen in the field and delaying resistance development.","The carmine spider mite, Tetranychus cinnabarinus is an important crop and vegetable plants pest mite. As a novel acaricide, cyflumetofen is effective against Tetranychus and Panonychus mites, but its risk and biochemical mechanism of resistance in mites is not clear. In this study, the resistance against cyflumetofen was selected and its biochemical mechanisms were studied in T. cinnabarinus. After selection the susceptibility and resistance against cyflumetofen in T. cinnabarinus, the final resistance ratio reached 21.33 at LC50 (CyR-43/CyS). All the collected field populations showed low resistance against cyflumetofen, although it had never been used in China. The activity of detoxifying enzymes CarE, MFO and GSTs were significantly increased in the final selected resistance strain (CyR-43), especially that for GSTs increased more than 7-folds after selection. The resistance against cyflumetofen developed slowly when selected from the susceptible strain in laboratory, but the resistant genes already existed in field populations, and the GSTs was the most important detoxifying enzyme conferring resistance against cyflumetofen in T. cinnabarinus. These results would provide the valuable information for designing appropriate strategies for the practical application of cyflumetofen in the field and delaying resistance development.","('Species: Tetranychus, T. cinnabarinus, Panonychus, Tetranychus cinnabarinus; Pesticides: cyflumetofen; Resistance_factor_value: 7-folds, 21, 33; Location: null; Gene: GSTs, MFO, CarE; Year: null', 'The carmine spider mite, Tetranychus cinnabarinus is an important crop and vegetable plants pest mite. As a novel acaricide, cyflumetofen is effective against Tetranychus and Panonychus mites, but its risk and biochemical mechanism of resistance in mites is not clear. In this study, the resistance against cyflumetofen was selected and its biochemical mechanisms were studied in T. cinnabarinus. After selection the susceptibility and resistance against cyflumetofen in T. cinnabarinus, the final resistance ratio reached 21.33 at LC50 (CyR-43/CyS). All the collected field populations showed low resistance against cyflumetofen, although it had never been used in China. The activity of detoxifying enzymes CarE, MFO and GSTs were significantly increased in the final selected resistance strain (CyR-43), especially that for GSTs increased more than 7-folds after selection. The resistance against cyflumetofen developed slowly when selected from the susceptible strain in laboratory, but the resistant genes already existed in field populations, and the GSTs was the most important detoxifying enzyme conferring resistance against cyflumetofen in T. cinnabarinus. These results would provide the valuable information for designing appropriate strategies for the practical application of cyflumetofen in the field and delaying resistance development.')"
103,"Because free-insecticide treated net distribution is planned in Benin (West Africa) during the next few years, we investigated the type, frequency and distribution of insecticide resistance mechanisms in Anopheles gambiae and Culex quinquefasciatus mosquitoes in four localities selected on the basis of contrasting agricultural practices, use of insecticides and environment. Bioassays with WHO diagnostic test kits were carried out using pyrethroid, carbamate, organophosphate and organochlorine insecticides. An. gambiae mosquitoes were identified to species and to M or S molecular forms using PCR techniques. Molecular and biochemical assays were carried out to identify kdr and Ace.1 mutations in individual mosquitoes and to detect any increase in the activity of enzymes typically involved in insecticide metabolism (oxidase, esterase and glutathion-S-transférases). WHO diagnostic tests showed high frequency of resistance in An. gambiae and Cx. quinquefasciatus to permethrin and DDT in three areas. This was consistent with the presence of target site insensitivity due to kdr mutation and to increased metabolism through enzymatic activity. Kdr was expressed in both M and S forms. However, less than 1% of An. gambiae or Cx. quiqnuefasciatus showed the presence of the Ace.1(R) mutation. Carbamate/OP resistance was present at higher frequency in Culex than in An. gambiae. Dieldrin resistance was present in both species at all four localities. A higher frequency of pyrethroid-resistance was found in An. gambiae mosquitoes collected in urban areas compared to those collected in rice growing areas. The detection of multiple resistance mechanisms in both An. gambiae and Cx. quinquefasciatus in Benin may represent a threat for the efficacy of ITNs and other forms of vector control such as indoor residual spraying in the future.","Because free-insecticide treated net distribution is planned in Benin (West Africa) during the next few years, we investigated the type, frequency and distribution of insecticide resistance mechanisms in Anopheles gambiae and Culex quinquefasciatus mosquitoes in four localities selected on the basis of contrasting agricultural practices, use of insecticides and environment. Bioassays with WHO diagnostic test kits were carried out using pyrethroid, carbamate, organophosphate and organochlorine insecticides. An. gambiae mosquitoes were identified to species and to M or S molecular forms using PCR techniques. Molecular and biochemical assays were carried out to identify kdr and Ace.1 mutations in individual mosquitoes and to detect any increase in the activity of enzymes typically involved in insecticide metabolism (oxidase, esterase and glutathion-S-transférases). WHO diagnostic tests showed high frequency of resistance in An. gambiae and Cx. quinquefasciatus to permethrin and DDT in three areas. This was consistent with the presence of target site insensitivity due to kdr mutation and to increased metabolism through enzymatic activity. Kdr was expressed in both M and S forms. However, less than 1% of An. gambiae or Cx. quiqnuefasciatus showed the presence of the Ace.1(R) mutation. Carbamate/OP resistance was present at higher frequency in Culex than in An. gambiae. Dieldrin resistance was present in both species at all four localities. A higher frequency of pyrethroid-resistance was found in An. gambiae mosquitoes collected in urban areas compared to those collected in rice growing areas. The detection of multiple resistance mechanisms in both An. gambiae and Cx. quinquefasciatus in Benin may represent a threat for the efficacy of ITNs and other forms of vector control such as indoor residual spraying in the future.","('Species: An. gambiae, Cx. quiqnuefasciatus, Culex, Culex quinquefasciatus, Cx. quinquefasciatus, Anopheles gambiae; Pesticides: permethrin, DDT, Dieldrin; Resistance_factor_value: null; Location: Benin, West Africa; Gene: oxidase, esterase, Ace.1, Ace.1(R), glutathion-S-transférases; Year: null', 'Because free-insecticide treated net distribution is planned in Benin (West Africa) during the next few years, we investigated the type, frequency and distribution of insecticide resistance mechanisms in Anopheles gambiae and Culex quinquefasciatus mosquitoes in four localities selected on the basis of contrasting agricultural practices, use of insecticides and environment. An. gambiae mosquitoes were identified to species and to M or S molecular forms using PCR techniques. Molecular and biochemical assays were carried out to identify kdr and Ace.1 mutations in individual mosquitoes and to detect any increase in the activity of enzymes typically involved in insecticide metabolism (oxidase, esterase and glutathion-S-transférases). WHO diagnostic tests showed high frequency of resistance in An. gambiae and Cx. quinquefasciatus to permethrin and DDT in three areas. However, less than 1% of An. gambiae or Cx. quiqnuefasciatus showed the presence of the Ace.1(R) mutation. Carbamate/OP resistance was present at higher frequency in Culex than in An. gambiae. Dieldrin resistance was present in both species at all four localities. A higher frequency of pyrethroid-resistance was found in An. gambiae mosquitoes collected in urban areas compared to those collected in rice growing areas. The detection of multiple resistance mechanisms in both An. gambiae and Cx. quinquefasciatus in Benin may represent a threat for the efficacy of ITNs and other forms of vector control such as indoor residual spraying in the future.')"
104,"Studies on artificial laboratory selections with milbemectin, stability of milbemectin resistance and possible cross-resistance with abamectin were carried out with Tetranychus urticae Koch to provide basic information for a milbemectin resistance management program. Selections for resistance and susceptibility to milbemectin were performed in a population of T. urticae, collected from a commercial chrysanthemum field in the State of São Paulo, Brazil. After six selections for resistance and five selections for susceptibility, susceptible (S) and resistant (R) strains of T. urticae to milbemectin were obtained. The resistance ratio (R/S) at the LC(50) reached 409-fold value. The stability of milbemectin resistance was also studied under laboratory conditions, using a population with initial frequency of 75% of resistant mites. The frequencies of milbemectin resistance were evaluated monthly for a period of 7 months. In order to observe possible correlation between milbemectin and abamectin resistance, the frequencies of abamectin resistance were also evaluated for that population, during the same period. The frequency of milbemectin resistance decreased from 75 to 14.5%, while the percentage of abamectin resistant mites decreased from 57 to 9.1%, in 7 months. The frequencies of milbemectin and abamectin resistance were also evaluated in 25 field populations of T. urticae, collected from several crops in the State of São Paulo. The frequencies of milbemectin resistance varied from 4.1 to 89.5%, and of abamectin, from 7.0 to 90.5%. A positive and significant correlation was observed between the frequencies of milbemectin and abamectin resistance, indicating positive cross-resistance between these acaricides. The results indicate that abamectin should be avoided for managing milbemectin resistance in T. urticae. This is the first report on milbemectin resistance in T. urticae in Brazil.","Studies on artificial laboratory selections with milbemectin, stability of milbemectin resistance and possible cross-resistance with abamectin were carried out with Tetranychus urticae Koch to provide basic information for a milbemectin resistance management program. Selections for resistance and susceptibility to milbemectin were performed in a population of T. urticae, collected from a commercial chrysanthemum field in the State of São Paulo, Brazil. After six selections for resistance and five selections for susceptibility, susceptible (S) and resistant (R) strains of T. urticae to milbemectin were obtained. The resistance ratio (R/S) at the LC(50) reached 409-fold value. The stability of milbemectin resistance was also studied under laboratory conditions, using a population with initial frequency of 75% of resistant mites. The frequencies of milbemectin resistance were evaluated monthly for a period of 7 months. In order to observe possible correlation between milbemectin and abamectin resistance, the frequencies of abamectin resistance were also evaluated for that population, during the same period. The frequency of milbemectin resistance decreased from 75 to 14.5%, while the percentage of abamectin resistant mites decreased from 57 to 9.1%, in 7 months. The frequencies of milbemectin and abamectin resistance were also evaluated in 25 field populations of T. urticae, collected from several crops in the State of São Paulo. The frequencies of milbemectin resistance varied from 4.1 to 89.5%, and of abamectin, from 7.0 to 90.5%. A positive and significant correlation was observed between the frequencies of milbemectin and abamectin resistance, indicating positive cross-resistance between these acaricides. The results indicate that abamectin should be avoided for managing milbemectin resistance in T. urticae. This is the first report on milbemectin resistance in T. urticae in Brazil.","('Species: T. urticae, Tetranychus urticae; Pesticides: abamectin, milbemectin; Resistance_factor_value: 409-fold; Location: São Paulo, Brazil; Gene: null; Year: null', 'Studies on artificial laboratory selections with milbemectin, stability of milbemectin resistance and possible cross-resistance with abamectin were carried out with Tetranychus urticae Koch to provide basic information for a milbemectin resistance management program. Selections for resistance and susceptibility to milbemectin were performed in a population of T. urticae, collected from a commercial chrysanthemum field in the State of São Paulo, Brazil. After six selections for resistance and five selections for susceptibility, susceptible (S) and resistant (R) strains of T. urticae to milbemectin were obtained. The resistance ratio (R/S) at the LC(50) reached 409-fold value. The stability of milbemectin resistance was also studied under laboratory conditions, using a population with initial frequency of 75% of resistant mites. The frequencies of milbemectin resistance were evaluated monthly for a period of 7 months. In order to observe possible correlation between milbemectin and abamectin resistance, the frequencies of abamectin resistance were also evaluated for that population, during the same period. The frequency of milbemectin resistance decreased from 75 to 14.5%, while the percentage of abamectin resistant mites decreased from 57 to 9.1%, in 7 months. The frequencies of milbemectin and abamectin resistance were also evaluated in 25 field populations of T. urticae, collected from several crops in the State of São Paulo. The frequencies of milbemectin resistance varied from 4.1 to 89.5%, and of abamectin, from 7.0 to 90.5%. A positive and significant correlation was observed between the frequencies of milbemectin and abamectin resistance, indicating positive cross-resistance between these acaricides. The results indicate that abamectin should be avoided for managing milbemectin resistance in T. urticae. This is the first report on milbemectin resistance in T. urticae in Brazil.')"
105,"OBJECTIVE: We report here infection with pubic lice in a 43 year old male in Australia which failed to be eradicated by adequate therapy with a pyrethrin and piperonyl butoxide product. The infestation was cured by use of 5% permethrin. This appears to be the first report of Pthirus pubis resistant to insecticides, in this case pyrethrins and their synergist, piperonyl butoxide.","OBJECTIVE: We report here infection with pubic lice in a 43 year old male in Australia which failed to be eradicated by adequate therapy with a pyrethrin and piperonyl butoxide product. The infestation was cured by use of 5% permethrin. This appears to be the first report of Pthirus pubis resistant to insecticides, in this case pyrethrins and their synergist, piperonyl butoxide.","('Species: Pthirus pubis; Pesticides: piperonyl butoxide, pyrethrins, permethrin, pyrethrin; Resistance_factor_value: null; Location: Australia; Gene: null; Year: null', 'OBJECTIVE: We report here infection with pubic lice in a 43 year old male in Australia which failed to be eradicated by adequate therapy with a pyrethrin and piperonyl butoxide product. The infestation was cured by use of 5% permethrin. This appears to be the first report of Pthirus pubis resistant to insecticides, in this case pyrethrins and their synergist, piperonyl butoxide.')"
