id,sentence,labels
287-3,"RESULTS: Here, we provide a comprehensive strand-specific RNA-seq based transcriptome resource for P. ulmi derived from strains susceptible and resistant to the widely used acaricide spirodiclofen.","[[58, 65, 'RNA-seq', 'Research_level'], [99, 106, 'P. ulmi', 'Species'], [183, 196, 'spirodiclofen', 'Pesticides']]"
287-5,"In a comparative analysis that incorporated sequences available for Panonychus citri, T. urticae, and insects, we identified radiations for detoxification gene families following the divergence of Panonychus and Tetranychus genera.","[[68, 84, 'Panonychus citri', 'Species'], [86, 96, 'T. urticae', 'Species']]"
287-6,"Finally, we used the replicated RNA-seq data from the spirodiclofen susceptible and resistant strains to describe gene expression changes associated with resistance.","[[32, 39, 'RNA-seq', 'Research_level'], [54, 67, 'spirodiclofen', 'Pesticides']]"
287-7,"A cytochrome P450 monooxygenase, as well as multiple carboxylcholinesterases, were differentially expressed between the susceptible and resistant strains, and provide a molecular entry point for understanding resistance to spirodiclofen, widely used to control P. ulmi populations.","[[2, 31, 'cytochrome P450 monooxygenase', 'Gene'], [53, 76, 'carboxylcholinesterases', 'Gene'], [223, 236, 'spirodiclofen', 'Pesticides'], [261, 268, 'P. ulmi', 'Species']]"
300-0,"The two-spotted spider mite, Tetranychus urticae Koch, is a worldwide crop pest.","[[29, 48, 'Tetranychus urticae', 'Species']]"
300-1,"The resistance to commonly applied acaricides (in this report, ""acaricide"" refers to both acaricides and insecticides that are toxic to mites) has seriously impaired T. urticae control in the field.","[[166, 176, 'T. urticae', 'Species']]"
300-2,"Here, the sensitivity of eggs, larvae, and adults of laboratory and field populations of T. urticae to various acaricides was investigated.","[[89, 99, 'T. urticae', 'Species'], [111, 121, 'acaricides', 'Pesticides']]"
300-3,"Based on data obtained with an acaricide-sensitive laboratory strain collected in 2009, abamectin was the most toxic of the tested acaricides.","[[82, 86, '2009', 'Year'], [88, 97, 'abamectin', 'Pesticides']]"
300-5,"The egg was the most sensitive stage to abamectin, bifenazate, and hexythiazox; the larva was the most sensitive stage to abamectin, hexythiazox, bifenazate, propargite, and chlorfenapyr; and the adult was the most sensitive stage to abamectin, bifenazate, and chlorfenapyr.","[[40, 49, 'abamectin', 'Pesticides'], [51, 61, 'bifenazate', 'Pesticides'], [67, 78, 'hexythiazox', 'Pesticides'], [122, 131, 'abamectin', 'Pesticides'], [133, 144, 'hexythiazox', 'Pesticides'], [146, 156, 'bifenazate', 'Pesticides'], [158, 168, 'propargite', 'Pesticides'], [174, 186, 'chlorfenapyr', 'Pesticides'], [234, 243, 'abamectin', 'Pesticides'], [245, 255, 'bifenazate', 'Pesticides'], [261, 273, 'chlorfenapyr', 'Pesticides']]"
300-7,"Although the field populations differed in their resistance to the acaricides in laboratory bioassays, the eggs, larvae, and adults of the four populations were sensitive to bifenazate and highly resistant to abamectin.","[[174, 184, 'bifenazate', 'Pesticides'], [209, 218, 'abamectin', 'Pesticides']]"
300-8,"Field trials for control of T. urticae in Beijing, China, should be conducted with bifenazate and other acaricides rather than with abamectin.","[[28, 38, 'T. urticae', 'Species'], [42, 56, 'Beijing, China', 'Location'], [83, 93, 'bifenazate', 'Pesticides'], [132, 141, 'abamectin', 'Pesticides']]"
342-3,Adults of Aedes aegypti from two localtities in Ratchaburi province were subjected to permethrin and deltamethrin selection in laboratory.,"[[10, 23, 'Aedes aegypti', 'Species'], [48, 67, 'Ratchaburi province', 'Location'], [86, 96, 'permethrin', 'Pesticides'], [101, 113, 'deltamethrin', 'Pesticides']]"
342-4,"After three generations of selection, permethrin-selected and deltamethrin-selected strains were established.","[[38, 48, 'permethrin', 'Pesticides'], [62, 74, 'deltamethrin', 'Pesticides']]"
342-5,Their LT 50 increased to 7.46 and 1.18 folds in the F3 strains that were selected with permethrin and deltamethrin respectively.,"[[25, 29, '7.46', 'Resistance_factor_value'], [34, 44, '1.18 folds', 'Resistance_factor_value'], [87, 97, 'permethrin', 'Pesticides'], [102, 114, 'deltamethrin', 'Pesticides']]"
342-8,Glutathione-S-transferase activity was found to increase in permethrin-selected strain but not in deltamethrin-selected strain.,"[[0, 25, 'Glutathione-S-transferase', 'Gene'], [60, 70, 'permethrin', 'Pesticides'], [98, 110, 'deltamethrin', 'Pesticides']]"
