compound_name	normalized_name	group_label	entry_type	is_cry_toxin	source_tag	source_file	notes	source_order
Acephate	acephate	A	collected_name	0	collected_text_n			24
Acequinocyl	acequinocyl	A	collected_name	0	collected_text_n			25
Acetamiprid	acetamiprid	A	collected_name	0	collected_text_n			26
Acethion	acethion	A	collected_name	0	collected_text_n			27
Acetophos	acetophos	A	collected_name	0	collected_text_n			28
Acetoprole	acetoprole	A	collected_name	0	collected_text_n			29
Acibenzolar	acibenzolar	A	collected_name	0	collected_text_n			30
Acrinathrin	acrinathrin	A	collected_name	0	collected_text_n			32
Acrylonitrile	acrylonitrile	A	collected_name	0	collected_text_n			33
Acynonapyr	acynonapyr	A	collected_name	0	collected_text_n			34
Afidopyropen	afidopyropen	A	collected_name	0	collected_text_n			35
Alanycarb	alanycarb	A	collected_name	0	collected_text_n			36
Aldicarb	aldicarb	A	collected_name	0	collected_text_n			37
Aldoxycarb	aldoxycarb	A	collected_name	0	collected_text_n			38
Aldrin	aldrin	A	collected_name	0	collected_text_n			39
Allethrin	allethrin	A	collected_name	0	collected_text_n			40
Allyxycarb	allyxycarb	A	collected_name	0	collected_text_n			42
Alpha-cypermethrin	alpha-cypermethrin	A	collected_name	0	collected_text_n			43
Alpha-endosulfan	alpha-endosulfan	A	collected_name	0	collected_text_n			44
Alpha-hexachlorocyclohexane	alpha-hexachlorocyclohexane	A	collected_name	0	collected_text_n			45
Altretamine	altretamine	A	collected_name	0	collected_text_n			46
Aluminium phosphide	aluminium phosphide	A	collected_name	0	collected_text_n			47
Aluminium silicate	aluminium silicate	A	collected_name	0	collected_text_n			48
Amidithion	amidithion	A	collected_name	0	collected_text_n			49
Amidoflumet	amidoflumet	A	collected_name	0	collected_text_n			50
Amidothioate	amidothioate	A	collected_name	0	collected_text_n			51
Aminocarb	aminocarb	A	collected_name	0	collected_text_n			52
Amiton	amiton	A	collected_name	0	collected_text_n			53
Amiton oxalate	amiton oxalate	A	collected_name	0	collected_text_n			54
Amitraz	amitraz	A	collected_name	0	collected_text_n			55
Ammonium acetate	ammonium acetate	A	collected_name	0	collected_text_n			56
Anagrapha falcifera nucleopolyhedrovirus	anagrapha falcifera nucleopolyhedrovirus	A	collected_name	0	collected_text_n			57
