common_name	species_name	confidence	note
diamondback moth	Plutella xylostella	strict	widely fixed crop pest common name
house fly	Musca domestica	strict	widely fixed medical/veterinary pest common name
fall armyworm	Spodoptera frugiperda	strict	widely fixed crop pest common name
beet armyworm	Spodoptera exigua	strict	widely fixed crop pest common name
oriental fruit fly	Bactrocera dorsalis	strict	widely fixed fruit fly common name
western flower thrips	Frankliniella occidentalis	strict	widely fixed thrips pest common name
Colorado potato beetle	Leptinotarsa decemlineata	strict	widely fixed crop pest common name
red palm weevil	Rhynchophorus ferrugineus	strict	widely fixed palm pest common name
two-spotted spider mite	Tetranychus urticae	strict	widely fixed mite pest common name
twospotted spider mite	Tetranychus urticae	strict	spelling variant of two-spotted spider mite
green peach aphid	Myzus persicae	strict	widely fixed aphid pest common name
cotton aphid	Aphis gossypii	strict	widely fixed aphid pest common name
brown planthopper	Nilaparvata lugens	strict	widely fixed rice planthopper common name
small brown planthopper	Laodelphax striatellus	strict	widely fixed rice planthopper common name
white-backed planthopper	Sogatella furcifera	strict	widely fixed rice planthopper common name
whitebacked planthopper	Sogatella furcifera	strict	spelling variant of white-backed planthopper
German cockroach	Blattella germanica	strict	widely fixed urban pest common name
common bed bug	Cimex lectularius	strict	more specific variant of bed bug
silverleaf whitefly	Bemisia tabaci	strict	widely fixed whitefly pest common name
sweetpotato whitefly	Bemisia tabaci	strict	widely fixed whitefly pest common name
tobacco whitefly	Bemisia tabaci	strict	widely fixed whitefly pest common name
cotton bollworm	Helicoverpa armigera	strict	widely fixed crop pest common name
pink bollworm	Pectinophora gossypiella	strict	widely fixed cotton pest common name
Asian corn borer	Ostrinia furnacalis	strict	widely fixed crop pest common name
European corn borer	Ostrinia nubilalis	strict	widely fixed crop pest common name
oriental armyworm	Mythimna separata	strict	widely fixed crop pest common name
black cutworm	Agrotis ipsilon	strict	widely fixed crop pest common name
diamondback moth larvae	Plutella xylostella	strict	life stage phrase variant
fall armyworm larvae	Spodoptera frugiperda	strict	life stage phrase variant
beet armyworm larvae	Spodoptera exigua	strict	life stage phrase variant
pink bollworm larvae	Pectinophora gossypiella	strict	life stage phrase variant
cotton bollworm larvae	Helicoverpa armigera	strict	life stage phrase variant
southern green stink bug	Nezara viridula	strict	widely fixed stink bug common name
brown marmorated stink bug	Halyomorpha halys	strict	widely fixed stink bug common name
green rice leafhopper	Nephotettix cincticeps	strict	widely fixed rice leafhopper common name
rice leaf folder	Cnaphalocrocis medinalis	strict	widely fixed rice pest common name
rice leaffolder	Cnaphalocrocis medinalis	strict	spelling variant of rice leaf folder
striped stem borer	Chilo suppressalis	strict	widely fixed rice pest common name
rice striped stem borer	Chilo suppressalis	strict	phrase variant of striped stem borer
